84355,16287,P0167,18
121284,22958,P0470,20
121472,22994,P0651,17
84706,16354,P0919,10
62467,12271,P0739,8
131556,24781,P0030,11
110273,20997,P0162,12
50078,10010,P0073,17
90009,17304,P0357,17
52065,10371,P0986,1
118238,22428,P0666,15
52329,10423,P0378,12
95020,18221,P0621,17
80809,15627,P0366,6
64863,12711,P0275,2
69269,13503,P0937,2
86889,16734,P0471,13
117081,22205,P0440,20
128090,24153,P0120,20
114774,21794,P0169,14
105470,20115,P0951,5
80264,15528,P0071,5
105621,20140,P0127,11
121224,22948,P0046,20
75746,14689,P0663,16
95025,18222,P0769,11
99333,19004,P0183,7
89262,17170,P0213,6
84831,16370,P0093,18
96283,18445,P0869,6
98484,18852,P0747,20
104178,19874,P0722,7
95553,18313,P0346,14
99405,19018,P0402,2
94213,18090,P0339,5
66293,12975,P0328,18
116166,22038,P0953,13
113471,21560,P0711,19
112517,21399,P0959,4
129203,24347,P0755,5
99643,19062,P0850,7
119662,22677,P0251,11
87207,16796,P0762,20
112133,21322,P0395,20
120211,22763,P0737,20
132588,24962,P0595,4
80770,15622,P0714,15
62308,12245,P0692,2
55814,11064,P0095,7
72677,14135,P0135,11
69120,13475,P0336,4
97098,18599,P0764,11
119020,22572,P0211,16
123286,23307,P0511,8
88935,17113,P0070,6
119515,22653,P0914,9
105331,20084,P0627,19
88714,17072,P0940,19
50147,10021,P0524,3
131354,24745,P0128,18
63049,12381,P0547,5
61010,12017,P0760,16
50315,10054,P0408,16
131983,24861,P0308,1
124790,23570,P0278,4
59763,11783,P0170,8
54902,10918,P0968,4
129711,24438,P0358,9
50641,10112,P0812,10
115879,21989,P0996,10
131246,24727,P0480,10
80960,15650,P0421,1
56688,11217,P0394,8
88270,16991,P0937,2
72989,14194,P0617,1
54065,10752,P0251,1
111462,21204,P0978,3
90715,17437,P0514,6
71694,13960,P0590,20
69430,13533,P0138,8
51287,10232,P0578,16
116942,22180,P0332,10
91695,17626,P0217,19
104595,19944,P0556,20
65399,12812,P0966,15
124921,23595,P0972,10
94354,18111,P0035,4
58767,11588,P0671,11
61810,12163,P0968,19
93105,17892,P0358,5
118198,22417,P0050,18
78302,15156,P0169,19
126810,23928,P0614,5
108939,20754,P0087,3
75745,14689,P0638,8
52305,10417,P0657,6
92080,17698,P0766,11
131108,24704,P0518,10
81820,15809,P0098,8
65351,12803,P0800,19
100540,19224,P0674,17
57331,11327,P0574,10
120339,22787,P0436,18
113104,21498,P0746,4
113315,21534,P0913,11
64648,12674,P0330,3
131926,24851,P0270,16
65117,12762,P0699,16
91456,17582,P0537,12
129836,24460,P0407,1
58264,11490,P0710,15
132322,24913,P0270,2
95546,18312,P1000,11
107958,20573,P0573,18
102095,19508,P0192,11
125789,23744,P0069,18
88255,16989,P0077,14
84881,16377,P0718,16
119069,22580,P0250,1
111372,21190,P0717,20
75766,14694,P0167,14
91407,17574,P0635,4
95302,18269,P0521,20
90608,17422,P0094,11
113348,21539,P0993,3
67349,13161,P0162,1
76148,14760,P0420,4
88936,17113,P0334,20
67302,13152,P0954,18
107956,20573,P0720,4
95464,18299,P0494,4
122711,23210,P0758,13
123574,23360,P0549,8
92426,17764,P0051,11
78137,15128,P0920,20
103972,19838,P0628,9
81462,15742,P0460,19
84452,16305,P0884,11
130685,24624,P0345,17
69942,13633,P0845,7
89909,17289,P0317,6
79244,15331,P0710,11
72374,14083,P0774,10
100288,19181,P0646,2
55453,11009,P0580,4
124530,23528,P0743,9
109959,20942,P0699,11
55606,11036,P0356,13
109985,20947,P0915,13
59609,11751,P0722,2
126748,23914,P0310,18
91400,17573,P0538,19
107774,20538,P0730,8
130145,24530,P0923,16
117558,22297,P0770,16
62701,12320,P0676,12
59098,11651,P0098,11
84255,16269,P0155,17
101365,19377,P0138,5
54506,10844,P0919,9
62886,12352,P0423,13
127419,24036,P0530,14
81454,15740,P0046,14
100929,19292,P0831,17
62497,12280,P0123,20
116573,22112,P0191,9
126648,23893,P0653,10
97023,18585,P0353,3
121200,22945,P0406,6
105000,20022,P0915,5
104954,20013,P0282,17
84931,16388,P0357,13
111672,21239,P0208,11
83659,16165,P0117,2
123932,23420,P0989,11
99328,19003,P1000,2
109542,20863,P0407,4
57214,11308,P0311,19
56981,11269,P0468,17
84177,16256,P0186,9
130493,24593,P0233,3
98952,18939,P0332,6
110117,20970,P0420,11
117782,22339,P0082,20
55320,10988,P0765,13
122386,23151,P0317,8
114045,21665,P0122,12
83646,16162,P0520,4
88533,17039,P0254,11
114858,21808,P0183,5
54267,10790,P0287,13
70142,13669,P0770,20
51687,10302,P0491,11
90981,17491,P0772,19
71733,13966,P0778,16
130831,24650,P0306,16
112017,21302,P0022,20
55912,11079,P0924,5
75398,14633,P0487,4
59073,11647,P0555,13
123476,23339,P0958,13
105088,20038,P0793,3
107280,20443,P0644,11
100056,19135,P0753,14
90591,17419,P0437,13
59461,11725,P0512,14
83909,16206,P0919,16
125820,23748,P0101,13
83277,16094,P0937,20
50191,10030,P0006,8
86519,16668,P0001,2
111619,21231,P0404,1
115980,22006,P0437,16
123856,23407,P0135,14
115931,21999,P0673,20
71308,13885,P0452,20
60551,11927,P0726,10
66747,13051,P0059,13
82299,15905,P0137,2
116459,22092,P0702,16
109320,20822,P0584,10
120809,22873,P0428,20
59597,11750,P0367,9
94510,18133,P0360,11
125973,23780,P0627,14
118887,22546,P0695,8
132282,24908,P0324,15
115194,21865,P0982,6
105436,20109,P0428,20
81156,15684,P0161,4
65903,12906,P0248,12
114110,21676,P0800,8
127047,23968,P0116,2
66299,12976,P0988,15
59088,11649,P0061,12
70824,13792,P0240,20
100485,19213,P0891,7
127262,24005,P0133,12
125007,23610,P0933,15
71499,13920,P0016,6
118044,22389,P0505,9
57767,11398,P0877,20
89785,17270,P0212,1
118666,22505,P0259,9
104492,19927,P0691,4
132401,24926,P0009,2
89488,17215,P0832,7
52940,10534,P0503,18
131719,24807,P0662,12
77343,14985,P0953,7
98442,18844,P0396,10
77301,14978,P0978,14
78876,15264,P0491,19
97292,18633,P0354,1
75295,14617,P0167,12
127454,24043,P0344,11
71347,13892,P0661,7
125178,23639,P0399,10
126232,23823,P0170,17
79730,15419,P0714,15
108481,20672,P0321,11
101150,19337,P0478,11
124351,23494,P0808,12
76716,14869,P0918,7
118260,22433,P0494,19
101182,19343,P0259,4
50192,10031,P0954,7
72264,14066,P0144,17
130919,24668,P0867,6
60803,11980,P0435,11
127556,24060,P0972,5
94802,18183,P0093,11
123876,23411,P0095,13
122670,23202,P0173,7
115375,21897,P0857,3
129046,24321,P0182,6
62146,12218,P0241,5
112656,21420,P0067,6
128602,24245,P0849,10
97077,18595,P0483,12
74501,14477,P0271,2
84820,16368,P0422,15
97489,18670,P0385,5
68130,13307,P0881,9
91890,17662,P0988,4
68970,13449,P0482,13
98434,18842,P0101,8
100729,19258,P0820,4
56159,11124,P0247,7
97160,18611,P0593,8
65211,12777,P0241,18
53443,10628,P0489,7
130012,24500,P0957,11
56626,11207,P0422,16
88236,16986,P0273,1
86140,16605,P0427,4
61425,12097,P0605,3
127024,23962,P0952,11
111701,21246,P0905,19
118985,22563,P0821,11
96208,18430,P0945,6
65717,12872,P0963,16
90056,17312,P0906,10
130696,24626,P0363,12
96915,18564,P0673,11
108069,20590,P0811,3
68781,13416,P0536,14
91218,17540,P0734,13
101672,19429,P0526,3
79236,15329,P0948,16
92703,17813,P0574,16
127747,24091,P0816,4
73234,14235,P0248,12
89923,17292,P0728,11
72123,14040,P0498,11
104709,19966,P0044,4
64188,12591,P0447,12
59358,11704,P0759,9
94342,18108,P0114,15
113350,21540,P0994,18
93001,17871,P0583,11
76674,14860,P0755,12
69599,13565,P0623,1
115355,21893,P0592,9
132270,24904,P0482,4
113076,21494,P0363,7
66409,12992,P0860,3
131365,24746,P0608,3
77542,15018,P0554,5
128384,24205,P0019,17
132014,24865,P0657,6
113840,21631,P0999,7
57536,11359,P0176,8
95058,18226,P0572,17
54701,10881,P0167,4
59658,11760,P0475,3
120700,22853,P0618,10
100074,19139,P0093,10
62752,12331,P0554,6
107901,20563,P0146,18
122534,23180,P0600,10
59273,11686,P0898,11
105320,20080,P0558,4
106445,20288,P0597,12
79086,15304,P0556,1
60534,11924,P0616,4
111596,21228,P0498,7
128166,24167,P0535,17
78045,15112,P0256,4
129107,24335,P0437,20
126829,23930,P0899,6
79379,15357,P0132,20
81047,15665,P0620,2
100988,19301,P0299,13
72051,14027,P0461,3
111910,21288,P0638,1
54482,10837,P0707,7
129961,24492,P0329,5
88569,17046,P0541,1
131573,24783,P0641,3
67350,13162,P0684,17
77596,15027,P0913,14
62456,12270,P0612,6
119322,22621,P0924,11
96786,18540,P0795,1
90648,17427,P0813,10
128343,24198,P0774,15
111159,21150,P0275,2
