84355,P0167,18
121284,P0470,1
121472,P0651,17
84706,P0919,2
62467,P0739,8
131556,P0030,11
110273,P0162,12
50078,P0073,17
90009,P0357,17
52065,P0986,1
118238,P0666,15
52329,P0378,12
95020,P0621,17
93037,PX3428,6
64863,P0275,2
69269,P0937,2
86889,P0471,13
117081,P0440,20
128090,P0120,20
114774,P0169,14
105470,P0951,5
80264,P0071,5
105621,P0127,1
121224,P0046,20
75746,P0663,16
95025,P0769,11
99333,P0183,7
89262,P0213,6
84831,P0093,18
96283,P0869,6
98484,P0747,17
104178,P0722,7
95553,P0346,14
99405,P0402,2
94213,P0339,5
66293,P0328,18
116166,P0953,13
113471,P0711,19
112517,P0959,3
129203,P0755,5
99643,P0850,7
119662,P0251,11
87207,P0762,20
112133,P0395,20
120211,P0737,20
132588,P0595,4
80770,P0714,15
62308,P0692,2
55814,P0095,7
72677,P0135,6
69120,P0336,4
97098,P0764,11
119020,P0211,16
123286,P0511,8
88935,P0070,6
119515,P0914,9
105331,P0627,19
88714,P0940,19
50147,P0524,3
131354,P0128,18
63049,P0547,5
61010,P0760,16
50315,P0408,16
96916,PX2877,8
124790,P0278,4
59763,P0170,8
54902,P0968,4
95462,PX8965,8
50641,P0812,10
115879,P0996,10
131246,P0480,1
80960,P0421,1
56688,P0394,8
88270,P0937,2
72989,P0617,1
54065,P0251,1
111462,P0978,1
90715,P0514,6
71694,P0590,20
69430,P0138,5
51287,P0578,16
116942,P0332,10
91695,P0217,19
96595,PX5370,8
65399,P0966,15
124921,P0972,10
94354,P0035,4
58767,P0671,11
61810,P0968,19
93105,P0358,5
118198,P0050,18
78302,P0169,19
92142,PX1256,4
108939,P0087,3
75745,P0638,8
52305,P0657,6
92080,P0766,11
131108,P0518,10
81820,P0098,8
96313,PX4507,5
100540,P0674,17
57331,P0574,10
120339,P0436,18
113104,P0746,4
113315,P0913,11
64648,P0330,3
131926,P0270,16
65117,P0699,16
91456,P0537,12
129836,P0407,1
58264,P0710,5
132322,P0270,2
95546,P1000,11
107958,P0573,18
102095,P0192,11
125789,P0069,18
88255,P0077,4
84881,P0718,16
119069,P0250,1
111372,P0717,20
75766,P0167,8
91407,P0635,4
95302,P0521,16
90608,P0094,11
113348,P0993,3
67349,P0162,1
76148,P0420,4
88936,P0334,20
67302,P0954,18
107956,P0720,4
95464,P0494,4
122711,P0758,13
123574,P0549,8
92426,P0051,11
78137,P0920,20
94813,PX7116,3
81462,P0460,3
84452,P0884,11
130685,P0345,17
69942,P0845,7
89909,P0317,6
79244,P0710,11
72374,P0774,10
100288,P0646,2
55453,P0580,4
124530,P0743,9
109959,P0699,11
55606,P0356,13
109985,P0915,13
59609,P0722,2
126748,P0310,14
91400,P0538,19
107774,P0730,3
130145,P0923,16
117558,P0770,16
62701,P0676,12
59098,P0098,4
84255,P0155,16
101365,P0138,5
54506,P0919,9
62886,P0423,13
90431,PX2952,1
81454,P0046,14
100929,P0831,17
62497,P0123,20
116573,P0191,9
126648,P0653,10
97023,P0353,3
121200,P0406,6
91315,PX7093,7
104954,P0282,17
84931,P0357,13
111672,P0208,11
83659,P0117,2
123932,P0989,11
90207,PX4521,2
109542,P0407,4
57214,P0311,19
56981,P0468,17
84177,P0186,1
